,Title,Published_year,Description
0,Hiveclass Rolls Out Youth Sports Training Digital Platform for Libraries,2022,Hiveclass a startup company building a digital encyclopedia of youth sports training has been partnering with libraries throughout the United States to offer teens and youth access to its mobilefriendly database of professionally shot athleteled instructional videos on soccer basketball tennis dance selfdefense volleyball and more
1,Academic Movers QA Elisandro Cabada on Using Technology for Service and Outreach,2022,Elisandro Cabada has worn many hats during his career at the University of Illinois at UrbanaChampaign Assistant professor for the university library interim head of the Mathematics Library and 3D printing project coordinator among others His commitment to developing and using technology for library service and outreach won him a 2022 Movers  Shakers award Library Journal recently reached out to learn more about his innovative work
6,Brooklyn’s Books Unbanned Continues to Grow,2022,On August 25 the White House Office of Science and Technology Policy OSTP released new guidance calling for all federally funded research to be made available to the public for free access and use upon publication The memorandum on Ensuring Free Immediate and Equitable Access to Federally Funded Research advises all federal agencies to eliminate the current 12month embargo period on the outputs of taxpayersupported research and the data that supports it to establish transparent procedures in doing so and to coordinate with OSTP to ensure its equitable delivery
7,Beyond Collections How Some Libraries are Seeing Better Engagement with Programs Outreach Collections  More,2022,Higher ed nonprofit ITHAKA announced on August 18 that it has invested 25 million in Hypothesis an open annotation service Hypothesis developed with funding from the Sloan Mellon and other foundations enables users to make searchable annotations on text across all platforms and interfaces at a private or public level—from notes and comments to corrections and addenda And parent corporation Annotation Unlimited Anno envisions a time when this capability will be built into all browsers as a native feature much like search engines
8,Open for Growth Open Source Platforms on the Rise,2022,The Las Vegas–Clark County Library District in partnership with the Nevada Homeless Alliance and the Nevada Partnership for Homeless Youth this spring launched a successful cell phone lending program to provide smartphones to people experiencing homelessness
9,Pottsboro Library Receives National Digital Navigator Corps Grant,2022,In February after being alerted to the issue by a group of Massachusetts librarians Library Freedom Project and Library Futures released a joint statement demanding accountability from Midwest Tape President and Hoopla founder Jeff Jankowski about hateful content and disinformation regarding COVID19 the Holocaust LGBTQIA+ people and other topics on his company’s massively popular electronic content platform for public libraries Six months later there is still a great deal of disinformation to be found in Hoopla’s collection on topics ranging from LGBTQIA+ experiences to reproductive health to vaccines
10,White House Make Public Access to Research Immediate,2022,Best sellers in engineering and technology July 2021 to date as identified by GOBI Library Solutions from EBSCO
11,ITHAKA Invests in Open Access Annotation Service Hypothesis,2022,#NoTechforICE was started by the national Latinx and Chicanx social justice advocacy group Mijente in 2018 when it became clear that government agencies such as ICE and CBP were purchasing public private and commercial data to gather information to aid in the sweeps and deportations of undocumented immigrants Two companies that have entered into contracts with ICE LexisNexis and Thomson Reuters—which owns LexisNexis competitor Westlaw—are staples of college and university database subscriptions and the campaign has caught the attention of academic librarians nationwide
12,Las Vegas Library Provides Smartphones Unlimited Data to Unhoused Patrons,2022,On June 7 the Maryland State Library Agency MSLA and Prince George’s County Memorial Library System PGCMLS announced the beta launch of the Guide to Indigenous Maryland a mobile app for iOS and Android and website that enable Marylanders—and users worldwide—to learn about the history of local Native and Indigenous people PGCMLS's preferred wording uses both terms and how their heritage continues to influence contemporary life in the state The free educational resource combines 21 curated sites featuring information on Native American and Indigenous geography and heritage local history and presentday life in Maryland
15,Hoopla Has a Content Problem Here’s How To Fix It  Backtalk,2022,Following a successful pilot test at Delaware’s Seaford Laurel and Milford libraries the Delaware Division of Libraries DDL is preparing to roll out a new comprehensive telehealth program to nine additional locations throughout the state by the end of 2022 The program was discussed in depth during The First Statewide LibraryLed Telehealth Initiative in the First State presentation on June 26 at the American Library Association’s 2022 Annual Conference and Exhibition in Washington DC
16,Where Big Tech Went Wrong Myths about Surveillance Mother of Invention and More in Engineering and Technology  Academic Best Sellers,2022,A lawsuit filed by OCLC in US Federal Court Southern District of Ohio claims that representatives from Clarivate have been contacting OCLC customers and encouraging them to contribute bibliographic records from WorldCat to an underdevelopment platform called MetaDoor in direct breach of those customers’ contractual obligations to OCLC
17,#NoTechforICE Campaign Protests Data Vendor Contracts with ICE,2022,In the midst of the myriad problems facing libraries in the United States—from the pandemic to burnout to the drastic increase in materials challenges—I want to celebrate a big win the shift to libraries as atscale providers of home connectivity for the digitally disenfranchised in their communities
18,Prince George’s County Memorial Library System Maryland State Library Launch Guide to Indigenous Maryland,2022,The Seattle Public Library; District of Columbia Public Library; and Fayette Public Library Museum  Archives La Grange TX in partnership with the University of Washington have launched VRtalityorg a website that provides libraries and other institutions with a roadmap for codesigning virtual reality VR apps to support the mental health of teens The roadmap and website were informed by three separate VR pilot programs developed by the three libraries Librarians worked directly with teen patrons to create the VR programs treating them as equal partners in the projects
20,DPLA Takes a Look Ahead  ALA Annual 2022,2022,Ninetyone percent of academic librarians believe that analytics improve their understanding of how students faculty and researchers engage with their library and 85 percent believe analytics can help show the library’s value to administrators and help libraries justify budget decisions according to a recent national survey of 196 academic librarians conducted by LJ in conjunction with EBSCO
21,Value Added Getting the Most Out of Databases,2022,Many college and university libraries have digitized their valuable collections of unique primary source materials to make them available to researchers However these collections can be hard to find To solve this problem the notforprofit organization ITHAKA has opened up JSTOR—its widely used digital research platform for universities to host their unique collections
22,Delaware to Expand Statewide Telehealth Program  ALA Annual 2022,2022,In 2021 the Annenberg School’s Library Archives accessioned the collection of Amy Siskind’s Weekly List website; however the path to get there was complicated and the final gift looked quite different from how it was conceived in the initial conversation
27,OCLC Files Lawsuit Against Clarivate Analytics,2022,Georgia’s Clayton County Library System has launched a new job training program that enables patrons to use virtual reality VR headsets to simulate handson experiences in various trades including plumbing commercial and residential HVAC and even solar panel installation
28,Connecting at Scale  Editorial,2022,For anyone studying the history of British colonialism or the Caribbean in general a new digital research tool from Adam Matthew offers unique insights
29,Three Libraries Work with Teens to Pilot VR Program for Mental Health,2022,In February collection development librarians from US public libraries pointed out on listservs and social media that several fascist ebooks—including ebooks that deny the Holocaust a sympathetic biography of Hitler and a new English translation of a title written by Nazi officer—were available for patrons to download on hoopla and were surfacing in searches alongside other nonfiction content One of the titles was also available for libraries to license via OverDrive Marketplace
30,CMU Receives NEH Grant To Develop Bibliographic Tools,2022,There are many ways to showcase special collections social media newsletters and blog posts; online and inperson exhibits; and both physical and digital catalogues and books The Massachusetts Institute of Technology MIT Libraries’ Distinctive Collections has upped the creativity factor with an immersive video game A Lab of One’s Own that allows players to discover archival materials telling the stories of women from MIT’s history
31,Academic Librarians View Analytics as Vital but Want Less Expensive Easier Tools,2022,The Institute of Museum and Library Services IMLS in partnership with the American Library Association ALA recently sponsored the development and publication of a series of seven Privacy Field Guides designed to offer practical information and handson exercises for public academic and K–12 librarians
32,JSTOR Makes Institutions’ Special Collections More Accessible,2022,On January 23 during its virtual National General Membership meeting REFORMA the National Association to Promote Library and Information Services to Latinos and the SpanishSpeaking was disrupted by a person or people using racial slurs and misogynistic hate speech The infiltration highlighted the discrepancies between the association’s desire for an open inclusive gathering and an increasing need for added security in an online environment
33,Reenvisioning Web Preservation with The Weekly List  Peer to Peer Review,2022,Machine learning ML tools can potentially help patrons discover relevant content and services as they search a library’s catalog However ML tools need to be trained with a lot of good data to generate good recommendations and initially contextual recommendations generated with highquality library metadata may be more effective at achieving the same goal
34,Analytics Play a Key Role in Campus Library Operations,2022,The LC Labs department of the Library of Congress recently published a comprehensive report on its HumansintheLoop initiative which crowdsourced volunteers to train a machine learning ML tool to extract structured data from one of the library’s digital collections It also explored the intersection of crowdsourcing and ML algorithms more broadly The project resulted in a framework that will inform future crowdsourcing and data enrichment projects at LC and the report offers other libraries and cultural heritage institutions insights and advice for developing engaging ethical and useful crowdsourcing projects of their own
35,Reporters Without Borders’ Uncensored Library Uses Minecraft To Provide Access to Censored Work,2022,Libraries have experienced dramatic changes in the last several years as a result of COVID and other external forces As librarians look ahead to the future here are three key trends that will shape their needs going forward
36,EAccess Innovation and Adoption  PLA 2022,2022,Charlotte Mecklenburg Library CML NC in March 2022 will begin distributing 20000 free refurbished laptops to Mecklenburg County adults who do not have their own home computers through its MeckTech Computer Kit Program Separately this month CML began rolling out MeckTech Connect a pilot program that will provide free broadband internet service to about 800 households in Charlotte’s West Boulevard Corridor
37,New Tech Tools Aim for a Seamless Library Experience,2022,The latest report from Ithaka S+R Big Data Infrastructure at the Crossroads released December 1 offers critical findings and recommendations on the ways higher ed researchers scholars and technicians can partner with university and college librarians to support data research The report was built from quantitative results and interview transcripts produced by a cohort of librarians at each participating institution
38,VR Job Training Launched at Clayton County Library System,2022,The Association of American Publishers AAP today filed suit against the Maryland Attorney General seeking to overturn the recently passed Maryland law that requires publishers to license ebooks and digital audiobooks to libraries on reasonable terms
